streamer_id,streamer_name,followers
31239503 ,ESLCS,6339201 
76508554 ,Anomaly,2803951 
25690271 ,bysTaXx,2211768 
71190292 ,Trainwreckstv,2147382 
36717908 ,IzakOOO,1950212 
163299585 ,BLASTPremier,1926639 
37287763 ,gafallen,1507294 
66076836 ,Stewie2K,1479864 
47207941 ,pashaBiceps,1343672 
39154778 ,Recrent,1310178 
35936871 ,ESLCSb,1246788 
186637705 ,JohnPanio,1216559 
39393023 ,kennyS,1149023 
218726370 ,m0NESYof,1014646 
753198480 ,CreamTheRabbit,1012013 
29512470 ,berkriptepe,1004197 
36858184 ,m0E_tv,901476 
25093116 ,fl0m,884236 
103262684 ,JASONR,879704 
46717011 ,olofmeister,840256 
29468517 ,PAGO3,779848 
38024128 ,GeT_RiGhT,772438 
102302893 ,Fenya,734626 
71167031 ,fer,704199 
21442544 ,n0thing,692191 
75891532 ,Michel,658045 
29039515 ,brax,618875 
55898523 ,TrilluXe,614113 
85943836 ,ErycTriceps,587974 
28635446 ,Mrtweeday,580968 
159974499 ,pokanoname,577846 
66272442 ,Nikolarn,564239 
126902046 ,Lobanjicaa,551780 
26202775 ,steel_tv,543351 
655332536 ,nikilarr,524960 
139345001 ,Aunkere,524285 
53052202 ,boltz,521773 
43045369 ,zorlaKOKA,502597 
85603763 ,Teeqo,501369 
178752007 ,brkk,486433 
133850478 ,tati,483212 
48243045 ,Dosia_csgo,471379 
182144693 ,BLAST,463146 
26959170 ,Freakazoid,455096 
38590945 ,coldzin,440478 
268731435 ,CCT_CS,421284 
144261138 ,nicksfps,416667 
27757893 ,x6FlipiN,391348 
38019007 ,f0rest,390766 
104435562 ,QRUSHcsgo,373401 
19804231 ,NeonLight_TFC,1408 
132173480 ,dougtck,413 
25681640 ,r0flz,300 
38063688 ,Migh7yM0use,168 
531882990 ,m3dnick,149 
72002223 ,darkstar_tfc,110 
227443200 ,Muty,12793 
113072570 ,KaNangaTV,7701 
99696534 ,jodidoclue,6139 
163957787 ,Jeepy,4294 
183094685 ,spaceashes,3927 
144087468 ,DiabloEUW_,3222 
123361885 ,Slvm,2376 
63781973 ,HuthTV,2156 
145622339 ,Brainelio,1565 
39665745 ,Crazyy832,884 
428409230 ,fruich,705 
190409723 ,TheBoolaidMan_,679 
661599031 ,TheFatRatMan,618 
126003585 ,LynLyn___,597 
63713553 ,Papa_Canis,576 
48432844 ,Asel_ga,570 
178691856 ,braindeadmonkee,557 
685953886 ,Ceejay987,449 
39783481 ,Sythka,435 
74381497 ,HotDoshirak,373 
448090253 ,Lifestealer2819,369 
42772387 ,CroosOne,360 
170448103 ,glawkamolee,343 
93109333 ,Fou_ttv,316 
55285607 ,Enrique16ish,300 
65676387 ,tadehack_ctz,277 
827215115 ,nemok1ng_,269 
825287813 ,NE0SURA,258 
780129572 ,dahael_,238 
514469881 ,wox1t,221 
470261470 ,MrPalta69,214 
86151320 ,LifeUhFindsAway,211 
649681757 ,CupOfJoe_HL,201 
710233723 ,nT3x_,178 
400887328 ,SplatToadOwO,170 
54723694 ,skillbreed,166 
192719515 ,sh1boi,161 
481222499 ,VerifNF,136 
232561302 ,hsci_,121 
601089358 ,jordanhchrist,120 
470445467 ,intalinoo,114 
582160661 ,Codeboy__,103 
625734159 ,MoltenMocha,100 
494492266 ,DeanyJG,100 
678153204 ,timurkazzt,83 
487569226 ,goodguyavocado,74 
127088451 ,Raven_ARG,72 
627880007 ,ComeOnTomm,72 
177992797 ,qvixote_cl,71 
476988855 ,kiljaexo,70 
32206213 ,Msushi,16730 
52480667 ,BiiWiX,3471 
122300753 ,Fresheys,2445 
678767319 ,Oracios,1633 
48751294 ,ggoomba1,696 
86641892 ,rngBone,640 
957316570 ,BamBrass,607 
72351714 ,Mr_Mary,579 
138851731 ,robynbirdttv,553 
490947177 ,SpikieGoesLive,550 
458171631 ,s_pinguin_,402 
520690927 ,sarahspeedrun,394 
114492069 ,tamaghostie,376 
97678945 ,Koyzumi,337 
464088881 ,gang_lion8,298 
224747241 ,sidsusballs,276 
175264949 ,42Kil,248 
205482238 ,domvoyage,244 
62149182 ,AkrivexVT,194 
537292584 ,Ngbatz,181 
124942889 ,Nocturnus1690,150 
423486818 ,Fidget_the_Batticorn,144 
21503380 ,EvilSeedlet,141 
856646090 ,Scramble_Boi,112 
972990613 ,Lunethyst,99 
957765581 ,rachels_room,87 
656242516 ,hrvatsk11,76 
698545953 ,alatreph,58 
636574598 ,KnickxKnacks,56 
1035016095 ,ferventthegamer,50 
520975261 ,groodfb,41 
463758645 ,nathduch,4 
558806680 ,ElUltimoCirculo,194295 
25467580 ,b4nny,140122 
48029091 ,pfzin,81700 
27541787 ,stabbystabby,67855 
823064800 ,blubaku,46189 
21255999 ,KritzKast,37152 
67735985 ,spikey_mikey,23011 
81926959 ,EssentialsTF,23001 
41913448 ,habib_6ix_God,20959 
402091341 ,RGLgg,19968 
743684821 ,TheKinglyAvocado,17449 
180001205 ,BIGJ0EYSLAPS,17269 
46891621 ,aWoolenSleevelet,15390 
3282480 ,WARHURYEAH,15113 
131642895 ,CappingTV,13149 
130851299 ,nyaruchuuu,12607 
35820361 ,powah,8075 
104324544 ,jbirdddd,7423 
117143573 ,pope_abibe,7332 
94369010 ,Jaromech,7077 
86999653 ,sandblast,6280 
115792821 ,Aarmastah,5501 
156018590 ,stabslive,4585 
2251001 ,NatP,4065 
191069529 ,CrinkledChimp,4011 
109402373 ,Kegaman_,3956 
81914301 ,tripbwai,3949 
478429749 ,incafox,3902 
139243247 ,Mr_Sve,3818 
535973710 ,FiresideCasts,3761 
247425030 ,dafuqwizat,3750 
159718008 ,amppisss,3669 
597764424 ,Chimparoncito,3617 
411161351 ,FastFox73,3504 
140316831 ,swiig1ty,3482 
53485404 ,R_Williams_Gaming,3464 
36504110 ,DuMmTm,3454 
31294001 ,FrostSnail,3378 
168716980 ,hubida_,3372 
87610949 ,Proctato_,3282 
89600533 ,Ratanak45,3065 
35806099 ,jdi11,3034 
38965392 ,oceansblooftw,2975 
43528773 ,doxedd,2888 
75287811 ,Fehstove,2852 
247844910 ,DG_AU,2804 
401646613 ,sin_k4rma_6s_demon,2675 
193369500 ,AceThePlumber,2646 
53662103 ,donovin_,2642 
519593563 ,Everfrost_Samoyed,2626 
185258751 ,DoomDozen,2547 
694379609 ,mikelaa_24,2357 
82906391 ,Cruelocity,325 
197544292 ,zomtacho,313 
614391854 ,pillpops,281 
428635324 ,tibirrita,237 
541232242 ,crybabylonelmao,228 
537307990 ,dust_grains,47 
66140438 ,phatastic,16640 
791066687 ,BlazeOBG,12830 
36704122 ,adumb,10573 
135991050 ,leky,9925 
203174840 ,LaloHlz,8732 
157798163 ,PatitoCuak,7211 
411345018 ,vierytronx,6913 
566361631 ,Emiruh,6508 
724529646 ,HEALY999_,5999 
188643811 ,AylaTennyson,5971 
116484101 ,nevermoresb,5053 
91884649 ,ht2589,4688 
203987979 ,marcosloqd,4622 
430621736 ,Melonasty,4273 
19395932 ,Pepinis,4266 
214262104 ,zaiko_cs,4002 
74441898 ,risingdl,3874 
874156594 ,capistreamer_,3867 
685709822 ,Causagaming,3842 
108425460 ,patitasr,3714 
415000987 ,vogeltech,3667 
40078086 ,loudmb,3325 
71765600 ,qeotabro,3301 
16391397 ,xnmbrsx,3163 
74623953 ,3ybx,3135 
694161319 ,MachuK1NG,3099 
721641090 ,NuruVT_,3080 
508584487 ,Chdz_,3055 
463765738 ,SattyYorozuya,2856 
419191847 ,PiePurrs,2812 
582211111 ,milaosu,2709 
12395167 ,Mkj13,2615 
206646492 ,amegd,2576 
811105764 ,renzukygod,2488 
423808973 ,iargerr,2437 
427234965 ,Driss16_,2423 
40846013 ,Abduull_,2383 
770862510 ,noth1nk_,2330 
809647673 ,JEINOXS,2242 
416704346 ,learningx,2219 
129313951 ,trapzsx,2198 
499778987 ,hydwo_,2156 
401710186 ,Trobita,2150 
598771548 ,elYukichi,2106 
253496710 ,PolloLunar,2019 
125636104 ,icella,1973 
672322041 ,dovahhg,1971 
41555787 ,Frippen,1940 
206455799 ,wizzarlive,1932 
65942142 ,RamirezTM,1883 
688611748 ,n3koglai,2584954 
40488774 ,Stray228,1611444 
37705807 ,Smzinho,1077940 
124304147 ,AverageJonas,1056175 
39176440 ,Dendi,1027992 
475757024 ,rostislav_999,904457 
52203144 ,gratis150ml,833125 
36481935 ,ESL_DOTA2,805420 
30816637 ,AdmiralBulldog,787593 
67708794 ,Nix,784287 
42316376 ,just_ns,735581 
108268890 ,Gorgc,728442 
31089858 ,DreadzTV,716459 
68950614 ,ybicanoooobov,670361 
87186401 ,LenaGol0vach,602141 
265940345 ,TpaBoMaH,567987 
51435464 ,A1taOda,521400 
21802540 ,VeRsuta,490693 
87056709 ,PGL_Dota2,459180 
87791915 ,iLame,410053 
63667409 ,JustCooman,386115 
115842730 ,icebergdoto,385632 
39176452 ,XBOCT,372027 
50958896 ,CarTmaNzbs,371524 
129339704 ,betboom_ru,371032 
851088609 ,dota2_paragon_ru,367173 
41343682 ,helenalive,364436 
24811779 ,WagamamaTV,337479 
448483289 ,ponyaaaa,333805 
121821372 ,stariy_bog,332678 
61952474 ,illidanstr,275166 
101204178 ,jamside,273648 
31113075 ,iceiceice,271119 
49440419 ,qojqva,267297 
40754777 ,masondota2,264050 
51229960 ,BananaSlamJamma,261354 
